,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t,fan
0,서태지와 아이들,3,남,100161,,요요기획,"서태지, 양현석, 이주노",1992.0,난 알아요,4893
1,더 블루,2,남,180144,,SM,"손지창, 김민종",1992.0,너만을 느끼며,474
2,잼,5,혼,225786,,DSP미디어,,,,19
3,에스오에스,4,여,101645,,삼포니레코드,,,,39
4,솔리드,3,남,100037,,비앤비,"이준, 정재윤, 김조한",1993.0,이젠 나를 (Give Me A Chance),1772
5,듀스,2,남,100977,,예당음향(예당컴퍼니),"이현도, 김성재",1993.0,나를 돌아봐,2125
6,노이즈,4,남,100025,,라인기획,,1992.0,너에게 원한건,367
7,잉크,7,남,101847,,,,,,9
8,룰라,4,혼,106610,,서울인프로덕션,"이상민, 고영욱, 김지현, 채리나",1994.0,100일(日)째 만남,1415
9,쿨,3 (4),혼,100004,,쿨컴퍼니,"이재훈 (쿨), 김성수, 유리",1994.0,너이길 원했던 이유,12606
10,제트,3,남,108871,,,,2003.0,Are You Gonna Be My Girl,852
11,터보,3 (2),남,100059,,더터보컴퍼니,"김종국, 마이키, 김정남",1995.0,나 어릴 적 꿈,9394
12,알이에프,3,남,100015,,팀,"이성욱, 성대현",1995.0,고요속의 외침,612
13,스머프,5,혼,247880,,,,,,4
14,에이치오티,5,남,100008,,SM,"토니 안, 문희준, 강타 (KANGTA), 장우혁, 이재원",1996.0,전사의 후예 (폭력시대),15892
15,언타이틀,2,남,100042,,예당음향(예당컴퍼니),"유건형, 서정환",1996.0,,478
16,하모하모,2,남,100178,,뮤직팩토리,"이성진, 천명훈",1996.0,,94
17,아이돌,2,남,101640,,DSP미디어,,1996.0,,144
18,구피,3,남,100023,,,"신동욱, 박성호 (구피)",1996.0,많이많이,381
19,태사자,4,남,100096,,매스컴,,1997.0,,397
20,엔알지,3 (5),남,100010,,뮤직팩토리,"천명훈, 노유민, 이성진",1997.0,할 수 있어,1054
21,오피피에이,8,남,100013,,베토벤뮤직,,1998.0,,246
22,티앤비,5,남,101868,,,,1997.0,,35
23,젝스키스,6,남,100052,DSP미디어,YG,"은지원, 이재진, 김재덕, 강성훈, 장수원",1997.0,학원별곡 (學園別曲),48343
24,쎄쎄쎄,3,여,101710,,희레코드,,1996.0,,78
25,베이비복스,5,여,216382,,DR뮤직,황연경,2007.0,Shee,254
26,에스이에스,3,여,100016,,SM,"유진, 바다, 슈",1997.0,(`Cause) I`m Your Girl,11365
27,원타임,4,남,100001,,YG,"송백경, 태빈, TEDDY",1998.0,1tym,2236
28,신화,6,남,100078,SM,신화컴퍼니,"앤디, 에릭, 전진, 신혜성, M (이민우), 김동완",1998.0,해결사,42626
29,이글 파이브,5,남,100051,,,,1998.0,궤도,117
30,오피피에이 공공칠,5,남,101508,,베토벤뮤직,,1998.0,,66
31,팬클럽,6,남,102213,,,비,1998.0,,99
32,써클,5,여,100036,,조선음향,,1998.0,,155
33,쿠키,3,여,777429,,드림,,1998.0,,7
34,핑클,4,여,100065,,DSP미디어,"이효리, 옥주현, 성유리, 이진",1998.0,Blue Rain,3305
35,플라이 투 더 스카이,2,남,100183,SM,H2미디어,"환희, 브라이언",1999.0,Day By Day,35576
36,에이포,4,남,100763,,,,1999.0,,61
37,클릭비,7,남,100070,,DSP미디어,"강후, 오종혁, 김상혁, 우연석, EVAN 에반 (유호석), 하현곤, 노민혁",1999.0,Promise,2281
38,와이투케이,3,남,100021,,조선음향,고재근,1999.0,헤어진 후에,502
39,god,5,남,100007,,iHQ싸이더스),"김태우, 손호영, 데니안, 박준형, 윤계상",1999.0,어머님께,49794
40,문차일드,4,남,100185,,GM기획,이수 (엠씨 더 맥스),2000.0,Delete,1759
41,오투알,5,남,100011,,,김재근,1999.0,,16
42,씨유,3,여,100086,,동아기획,,1999.0,,91
43,폭스,4,여,100077,,OGSOUND,,1999.0,,17
44,클레오,3,여,101397,,호,,1999.0,Good Time,391
45,티티마,5,여,100017,,뮤직팩토리,,1999.0,Prism,165
