,title,artist,gender,lyricist,composer,arranger,debut_year,generation
703,thebest,에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
704,iyah!,에이치오티,남,유영진   ,"    유영진    ,    Groovie. K   ",    유영진   ,1996,1
705,그래그렇게,에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
706,아이야(iyah!),에이치오티,남,유영진   ,"    유영진    ,    Groovie. K   ",    유영진   ,1996,1
707,투지(gititup!)+전사의후예+yougotgun,에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
708,환희(it`sbeenrainingsinceyouleftme)+신비(delight),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
709,n.b.k.(naturalbornkiller),에이치오티,남,토니 안   ,    토니 안   ,    토니 안   ,1996,1
710,timewilltell,에이치오티,남,이재원   ,"    이재원    ,    문희준   ","    이재원    ,    문희준   ",1996,1
711,persiablackhole(희준special),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
712,scratchshow(우혁special),에이치오티,남,,,,1996,1
713,good-bye이젠(good-byeforthelast)(우혁special)-withtony,에이치오티,남,장우혁   ,    장우혁   ,    장우혁   ,1996,1
714,행복(fullofhappiness)+빛(hope),에이치오티,남,,,,1996,1
715,mymother,에이치오티,남,장우혁   ,"    장우혁    ,    강타 (KANGTA)   ","    장우혁    ,    송광식   ",1996,1
716,멤버인사말(closingment),에이치오티,남,,,,1996,1
717,그래!그렇게!(wecandoit),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
718,앵콜곡:outsidecastle(thecastleoutsiders),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
719,캔디(candy),에이치오티,남,장용진   ,    장용진   ,    장용진   ,1996,1
720,우리들의맹세(thepromiseofh.o.t.),에이치오티,남,"유영진    ,    강타 (KANGTA)   ",    유영진   ,    유영진   ,1996,1
721,thewaythatyoulikeme,에이치오티,남,유영진   ,"    유한진    ,    유영진   ","    유한진    ,    유영진   ",1996,1
722,사랑하는사람에게(winter),에이치오티,남,,,,1996,1
723,졸업(graduation),에이치오티,남,,,,1996,1
724,weddingchristmas,에이치오티,남,,,,1996,1
725,jinglebell,에이치오티,남,,,,1996,1
726,outsidecastle(thecastleoutsiders),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
727,신비(delight),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
728,꿈의기도(prayforyou),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
729,파랑새의소원,에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
730,onelastlove,에이치오티,남,토니 안   ,"    토니 안    ,    윤치웅   ","    토니 안    ,    윤치웅   ",1996,1
731,good-bye이젠(goodbyeforthelast),에이치오티,남,장우혁   ,    장우혁   ,    장우혁   ,1996,1
732,for연가(姸歌)(asongforlady),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
733,illusion,에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
734,naturalbornkiller,에이치오티,남,토니 안   ,    토니 안   ,    토니 안   ,1996,1
735,버려진아이들,에이치오티,남,이재원   ,    이재원   ,    이재원   ,1996,1
736,늘지금처럼(alwaysmylove),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
737,silverbell,에이치오티,남,,,,1996,1
738,고요한밤그대와난(theday1030),에이치오티,남,,,,1996,1
739,전쟁,에이치오티,남,,,,1996,1
740,아이야!(iyah!),에이치오티,남,유영진   ,"    유영진    ,    Groovie. K   ",    유영진   ,1996,1
741,"하늘,꿈,그리고...",에이치오티,남,,,,1996,1
742,나의너(mygirl),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
743,8.15(제2의독립을위하여...),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
744,신념,에이치오티,남,,,,1996,1
745,koreanpride,에이치오티,남,토니 안   ,    토니 안   ,    토니 안   ,1996,1
746,마지막음성,에이치오티,남,,,,1996,1
747,doordie,에이치오티,남,장우혁   ,    장우혁   ,    장우혁   ,1996,1
748,고백,에이치오티,남,,,,1996,1
749,축복(celebrate),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
750,친구,에이치오티,남,,,,1996,1
751,영혼(soul),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
752,웃음,에이치오티,남,,,,1996,1
753,puhaha,에이치오티,남,이재원   ,    이재원   ,    이재원   ,1996,1
754,사모(조지훈),에이치오티,남,강타 (KANGTA)   ,    강타 (KANGTA)   ,    강타 (KANGTA)   ,1996,1
755,탈출,에이치오티,남,,,,1996,1
756,"고마워,미안해",에이치오티,남,,,,1996,1
757,"아이들&news(1999/6/30,sbs8시뉴스중)",에이치오티,남,,,,1996,1
758,행복(fullofhappiness)/빛(hope),에이치오티,남,장용진   ,    장용진   ,    장용진   ,1996,1
759,투지(gititup!),에이치오티,남,문희준   ,    문희준   ,    문희준   ,1996,1
