artist,artist_m,gender,idol_id,agency_old,agency_new,debut_y,debut_t,fan
서태지와 아이들,"서태지, 양현석, 이주노",남,100161,,요요기획,1992,난 알아요,4893
더 블루,"손지창, 김민종",남,180144,,SM,1922,너만을 느끼며,474
잼,,혼,225786,,DSP미디어,,,19
에스오에스,,여,101645,,삼포니레코드,,,39
솔리드,"이준, 정재윤, 김조한",남,100037,,비앤비,1993,이젠 나를 (Give Me A Chance),1772
듀스,"이현도, 김성재",남,100977,,예당음향(예당컴퍼니),1993,나를 돌아봐,2125
노이즈,,남,100025,,라인기획,1992,너에게 원한건,367
잉크,,남,101847,,,,,9
룰라,"이상민, 고영욱, 김지현, 채리나",혼,106610,,서울인프로덕션,1994,100일(日)째 만남,1415
쿨,"이재훈 (쿨), 김성수, 유리",혼,100004,,쿨컴퍼니,1994,너이길 원했던 이유,12606
제트,,남,108871,,,2003,Are You Gonna Be My Girl,852
터보,"김종국, 마이키, 김정남",남,100059,,더터보컴퍼니,1995,나 어릴 적 꿈,9394
알이에프,"이성욱, 성대현",남,100015,,팀,1995,고요속의 외침,612
스머프,,혼,247880,,,,,4
에이치오티,"토니 안, 문희준, 강타 (KANGTA), 장우혁, 이재원",남,100008,,SM,1996,전사의 후예 (폭력시대),15892
언타이틀,"유건형, 서정환",남,100042,,예당음향(예당컴퍼니),1996,,478
하모하모,"이성진, 천명훈",남,100178,,뮤직팩토리,1996,,94
아이돌,,남,101640,,DSP미디어,,,144
구피,"신동욱, 박성호 (구피)",남,100023,,,1996,많이많이,381
태사자,,남,100096,,매스컴,1997,,397
엔알지,"천명훈, 노유민, 이성진",남,100010,,뮤직팩토리,1997,할 수 있어,1054
오피피에이,,남,100013,,베토벤뮤직,1998,,246
티앤비,,남,101868,,,1997,,35
젝스키스,"은지원, 이재진, 김재덕, 강성훈, 장수원",남,100052,DSP미디어,YG,1997,학원별곡 (學園別曲),48343
쎄쎄쎄,,여,101710,,희레코드,1996,,78
베이비복스,황연경,여,216382,,DR뮤직,2007,Shee,254
에스이에스,"유진, 바다, 슈",여,100016,,SM,1997,(`Cause) I`m Your Girl,11365
원타임,"송백경, 태빈, TEDDY",남,100001,,YG,1998,1tym,2236
신화,"앤디, 에릭, 전진, 신혜성, M (이민우), 김동완",남,100078,SM,신화컴퍼니,1998,해결사,42626
이글 파이브,,남,100051,,,1998,궤도,117
오피피에이 공공칠,,남,101508,,베토벤뮤직,,,66
팬클럽,비,남,102213,,,,,99
써클,,여,100036,,조선음향,1998,,155
쿠키,,여,777429,,드림,,,7
핑클,"이효리, 옥주현, 성유리, 이진",여,100065,,DSP미디어,1998,Blue Rain,3305
플라이 투 더 스카이,"환희, 브라이언",남,100183,SM,H2미디어,1999,Day By Day,35576
에이포,,남,100763,,,1999,,61
클릭비,"강후, 오종혁, 김상혁, 우연석, EVAN 에반 (유호석), 하현곤, 노민혁",남,100070,,DSP미디어,1999,Promise,2281
와이투케이,고재근,남,100021,,조선음향,1999,헤어진 후에,502
god,"김태우, 손호영, 데니안, 박준형, 윤계상",남,100007,,iHQ싸이더스),1999,어머님께,49794
문차일드,이수 (엠씨 더 맥스),남,100185,,GM기획,2000,Delete,1759
오투알,김재근,남,100011,,,1999,,16
씨유,,여,100086,,동아기획,1999,,91
폭스,,여,100077,,OGSOUND,1999,,17
클레오,,여,101397,,호,1999,Good Time,391
티티마,,여,100017,,뮤직팩토리,1999,Prism,165
오투포,,여,100121,,은성기획,1999,,159
샤크라,"황보, 정려원",여,100068,,키스,2000,한 (Come A Come),384
에스지,,여,100952,,,2000,,89
파파야,조은새,여,101398,,윈섬미디어,2000,내 얘길 들어봐,482
제이티엘,"장우혁, 토니 안, 이재원",남,101448,,예전미디어,2001,A Better Day,1751
비오케이,"션리, 리누",남,1050192,,,2016,기분좋은날,253
엑스라지,"제롬, 배동일, 고재형, 최준호, 엄상혁",남,100779,,상마인드,,,38
보이 클럽,,남,101123,,,2000,,29
오션,"렌, 노아, 마린, 로이",남,101223,,신나라뮤직,2001,More Than Words,723
플래티넘,,남,100765,,DR뮤직,,,31
케이팝,,남,101266,,미래,2001,,695
디베이스,"송지훈, 제드",남,100688,,H2,2001,,296
쥬얼리,"김은정, 하주연, 김예원, 박세미",여,101487,,스타제국,2001,사랑해,1572
투야,,여,100786,,Astars,2001,봐,410
알,,여,100883,,매스컴,,,38
보이스코,,여,101262,,자이브레코드,2001,,63
밀크,박희본,여,101444,,SM,2001,Come To Me,622
블랙 비트,,남,101735,,SM,2002,,268
보이스립,,남,102453,,,2002,,14
큐오큐,정철,남,101758,,상마인드,2002,,82
제이워크,"장수원, 김재덕",남,102409,,,2002,Suddenly,10071
악동 클럽 (디 에이디),,남,262503,,GM,2002,Remember,114
파이브,"장해영, 서지원, 우정태, 김현수",남,103326,,에이치앤제이,2002,Girl,882
슈가,"아유미, 하린",여,101447,,스타월드,2001,,571
신비,,여,102370,,SM,2002,To My Friend,172
스위티,이은주,여,101483,,YG,2002,,147
러브,전혜빈,여,102454,,싸이더스HQ,2002,Orange Girl,130
데자부,,여,103492,,,2002,Run,147
동방신기,"유노윤호 (U-KNOW), 최강창민 (MAX)",남,108316,,SM,2004,Hug,37982
버즈,"민경훈, 손성희, 윤우현, 신준기, 김예준",남,160091,,산타뮤직,2003,어쩌면...,52759
에스,"신혜성, 강타 (KANGTA), 이지훈",남,107744,,SM,2003,I Swear,3837
스맥스,,남,107408,,시즌,2003,,34
테이크,"장성재, 신승희",남,105789,,Blue,2003,,4407
모닝,,여,105688,,,2003,,183
제이엔씨,"우연석, 오종혁, 김상혁, 장수원, 김재덕",남,160801,,키스,2004,하루가 지나고,701
트랙스,"제이 (JAY), 정모 (JUNGMO)",남,108965,,SM,2004,Paradox,1266
엘프,,여,108892,,STN,2004,,3
제이하트,,여,674319,,MPLAN,,,109
컬러링 베이비 7공주,,여,108299,,예스플러스,2004,러브송,792
슈퍼주니어,"신동 (SHINDONG), 예성 (YESUNG), 성민 (SUNGMIN), 규현 (KYUHYUN), 려욱 (RYEOWOOK), 강인 (KANGIN), 동해 (DONGHAE), 희철 (HEECHUL), 시원 (SIWON), 이특 (LEETEUK), 은혁 (EUNHYUK), 기범",남,175404,,SM,2005,Twins (Knock Out),50552
파란,"라이언, 피오(P.O), 에이스",남,173323,,NH미디어,2005,첫사랑,1528
더블에스오공일,"김현중, 김형준, 박정민, 허영생, 김규종",남,170541,,DSP미디어,2005,경고,5432
키스 파이브,,여,164035,,ADbell,,,13
천상지희 더 그레이스,"다나 (DANA), 선데이 (SUNDAY), 스테파니 (STEPHANIE), 린아 (LINA)",여,168015,,SM,2005,Too Good,993
오렌지,,여,175002,,오렌지,2005,,15
배틀,"진태화, 크리스, 리오, 류, 휘찬",남,209785,,굿,2006,,302
빅뱅,"태양, G-DRAGON, 대성, T.O.P, 승리",남,198094,,YG,2006,We Belong Together,305165
씽,,남,209489,,씽,2006,In Your Hands,125
브라운 아이드 걸스,"제아, 나르샤 (Brown Eyed Girls), 미료, 가인",여,181694,내가네트워크,미스틱,2006,다가와서,16715
에이시아,,여,184426,,예당,2006,,22
초신성,"성제 (초신성), 지혁 (초신성), 건일 (초신성), 윤학 (초신성), 성모 (초신성), 광수 (초신성)",남,229544,,마루,2007,Hit,412
티맥스,"신민철, 김준, 주찬양 (티맥스)",남,227372,,플래닛구공오,2007,Blooming,438
타키온,,남,224625,,J&H미디어,2007,,31
에프티 아일랜드,"이홍기 (FT아일랜드), 이재진 (FT아일랜드), 최민환 (FT아일랜드), 최종훈 (FT아일랜드), 송승현 (FT아일랜드)",남,226490,,FNC,2007,사랑앓이,27336
카라,"박규리 (카라), 한승연, 구하라 (카라), 허영지 (카라)",여,222128,,DSP미디어,2007,Break It,14437
베이비 복스 리브,"심은진, 간미연, 윤은혜",여,100032,,DR뮤직,1997,머리 하는 날,1248
써니힐,"주비, 승아, 미성, 코타",여,229494,,로엔,2007,통화 연결음,14283
원더걸스,"유빈 (Yubin), 핫펠트 (예은), 선미, 혜림 (원더걸스)",여,217764,,JYP,2007,Irony (아이러니),34083
소녀시대,"태연 (TAEYEON), 써니 (SUNNY), 유리 (YURI), 수영 (SOOYOUNG), 티파니 (TIFFANY), 서현 (SEOHYUN), 윤아 (YOONA), 효연 (HYOYEON)",여,228069,,SM,2007,다시 만난 세계 (Into The New World),105431
유키스,"수현 (U-Kiss), 기섭 (U-Kiss), 일라이 (U-Kiss), 케빈 (U-Kiss), 훈 (U-Kiss), 준 (U-Kiss)",남,259928,,NH미디어,2008,어리지 않아,2246
스매쉬 (토니 & 스매쉬),"세계, 제리, 나루, 한방, 히로",남,257968,,TN,2008,,106
에이스타일,,남,243727,,DSP미디어,2008,,164
샤이니,"종현 (JONGHYUN), 키 (KEY), 태민 (TAEMIN), 온유 (ONEW), 민호 (MINHO)",남,247639,,SM,2008,누난 너무 예뻐,119353
투에이엠,"조권, 이창민, 슬옹, 진운",남,253866,,JYP,2008,이노래,9210
투피엠,"닉쿤, 택연, 장우영, 준호, 찬성, 준케이 (JUN. K)",남,259822,,JYP,2008,10점 만점에 10점,21685
슈아이,"인석, 창현, 형준, 민호, 진석",남,431440,,예전미디어,,,61
엠블랙,"지오 (G.O), 승호 (MBLAQ), 미르 (MBLAQ)",남,436980,,제이튠캠프,2009,Oh Yeah,12394
비스트,"윤두준, 용준형, 양요섭, 이기광, 손동운, 장현승",남,436981,,큐브,2009,Bad Girl,151740
애프터 스쿨,"유이 (애프터스쿨), 정아 (애프터스쿨), 리지 (오렌지 캬라멜), 나나 (애프터스쿨), 레이나 (Raina), 이영 (애프터스쿨), 가은 (애프터스쿨)",여,322666,,플레디스,2009,AH,4917
투애니원,"산다라박, 박봄, CL",여,406712,,YG,2009,Fire,51682
포미닛,"현아, 허가윤 (4minute), 전지윤 (JENYER), 남지현 (4minute), 권소현 (4minute)",여,417985,,큐브,2009,Hot Issue,17355
티아라,"은정 (티아라), 효민 (티아라), 지연, 큐리 (티아라)",여,412000,,MBK,2009,좋은 사람 Ver.1,19138
에프엑스,"크리스탈 (KRYSTAL), 루나 (LUNA), 빅토리아 (VICTORIA), 엠버 (AMBER)",여,428501,,SM,2009,라차타 (LA chA TA),66583
햄,"수진, 가현, 효니",여,433421,,이연,2009,,213
시크릿,"송지은, 전효성, 정하나, 한선화",여,435121,,TS,2009,I Want You Back,10626
레인보우,"김재경, 현영 (레인보우), 고우리, 지숙, 노을, 오승아, 정윤혜",여,440320,,DSP미디어,2009,Gossip Girl,7040
남녀공학,"한빛효영, 한별혜원, 강행, 정우 (스피드), 우태운, 이노, 성민 (스피드), 찬미, 서은교, 종국 (스피드)",혼,13149,,코어콘텐츠미디어,2010,Too Late (Part.1),419
씨엔블루,"정용화 (CNBLUE), 이종현 (CNBLUE), 강민혁 (CNBLUE), 이정신 (CNBLUE)",남,450801,,FNC,2010,외톨이야,25001
제국의 아이들,"황광희, 문준영 (ZE:After), 임시완, Kevin, 김태헌, 정희철, 하민우, 박형식, 김동준",남,449941,,스타제국,2010,Mazeltov,4178
제이와이제이,"김재중, 박유천, XIA (준수)",남,499453,,씨제스,2010,Empty,35231
대국남아,"미카, 가람, 현민, 인준 (대국남아), Jay",남,459644,,씽(오픈월드),2010,동경소년,753
인피니트,"김성규, 엘 (인피니트), 장동우 (인피니트), 남우현, 이성열 (인피니트), 이성종 (인피니트)",남,476181,,울림,2010,다시 돌아와,123946
틴탑,"C.A.P, 니엘, 천지, 창조, Ricky",남,483581,,티오피미디어,2010,박수 (Clap),19983
디엠티엔,"다니엘, 이나티, 지수, 동림, 사이먼",남,494501,,아이에스엔터미디어그룹,2010,Round 1,602
터치,"선웅, 성용, 재욱, 철민, 강현",남,106246,,YYJ,2010,,104
지디 앤 탑,"G-DRAGON, T.O.P",남,512321,,YG,2010,뻑이가요,29332
씨스타,"효린, 소유 (SOYOU), 다솜 (씨스타), 보라 (씨스타)",여,473181,,스타쉽,2010,Push Push (푸시 푸시),75079
오렌지캬라멜,"리지 (오렌지 캬라멜), 나나 (애프터스쿨), 레이나 (Raina)",여,477632,,플레디스,2010,마법소녀 (魔法少女),12476
미쓰에이,"수지 (SUZY), 민, 페이, 지아",여,481481,,JYP,2010,Bad Girl Good Girl,22207
걸스데이,"소진 (걸스데이), 민아 (걸스데이), 유라 (걸스데이), 혜리 (걸스데이)",여,482762,,드림티,2010,갸우뚱,59218
나인뮤지스,"손성아 (나인뮤지스), 경리 (나인뮤지스), 혜미 (나인뮤지스), 소진 (나인뮤지스), 금조 (나인뮤지스)",여,465680,,스타제국,2010,No PlayBoy,15157
지피베이직,"제이니, 에미트, 트리니티, 자이온, 무이",여,492173,,티모,2010,Game,214
브이엔티,"쏘이, 유미, iLLA",여,505120,,미디어라인,,,41
트러블 메이커,"현아, 장현승",혼,591031,,큐브,2011,Trouble Maker,8169
마이네임,"세용, 인수, 준Q, 채진, 건우",남,576851,,에이치투미디어,2011,메시지 (Message),2337
보이프렌드,"현성 (보이프렌드), 영민 (보이프렌드), 광민 (보이프렌드), 민우 (보이프렌드), 동현 (보이프렌드), 정민 (보이프렌드)",남,541500,,스타쉽,2011,Boyfriend (보이프렌드),7221
슈퍼 주니어-디앤이,"동해 (DONGHAE), 은혁 (EUNHYUK)",남,838961,,SM,2011,"떴다 오빠 (Oppa, Oppa)",16522
비원에이포,"진영, 바로, 신우, 공찬, 산들 (B1A4)",남,535440,,WM,2011,O.K,53128
블락비,"지코 (ZICO), 박경 (블락비), P.O (블락비), 태일 (블락비), 재효 (블락비), 유권 (블락비), 비범 (블락비)",남,532201,,세븐시즌스,2011,그대로 멈춰라!,127454
엔소닉,"제이하트 (J.Heart), 최별, 봉준, 시후, 민기, 시온",남,570311,,C2K,2011,Super Boy,232
엠아이비,"직 재스퍼 (Zick Jasper), 심스 ($IM$), 강남",남,575911,,정글,2011,G.D.M,2669
달샤벳,"수빈, 세리 (달샤벳), 아영 (달샤벳), 우희 (달샤벳)",여,514619,,해피페이스,2011,Supa Dupa Diva,6022
파이브돌스,"한별혜원, 한빛효영, 서은교, 한나연, 승희, 오연경 (더 씨야)",여,520160,,MBK,2011,입술자국,723
치치,"세미, 보름, 수이, 아지, 샤인",여,527980,,예당,2011,,210
BP 라니아,"유민, 지은, 따보, 지유, 혜미, Alexandra, 이나",여,532321,,DR뮤직,2011,DR Feel Good (Korean Ver.),1255
브레이브걸스,"민영 (Brave Girls), 유정, 은지, 유나, 하윤",여,531700,,브레이브,2011,아나요,2801
에이핑크,"정은지, 손나은 (에이핑크), 박초롱 (에이핑크), 오하영 (에이핑크), 김남주 (에이핑크), 윤보미 (에이핑크)",여,534360,,플랜에이,2011,몰라요,138929
씨스타19,"보라 (씨스타), 효린",여,537569,,스타쉽,2011,Ma Boy (마보이),4781
천상지희 다나 & 선데이,"다나 (DANA), 선데이 (SUNDAY)",여,552082,,SM,2011,나 좀 봐줘 (One More Chance),237
애프터스쿨 레드,"가희, 정아 (애프터스쿨), 유이 (애프터스쿨), 나나 (애프터스쿨)",여,554180,,플레디스,2011,밤 하늘에,378
애프터스쿨 블루,,여,554181,,플레디스,2011,원더보이 (Wonder Boy),573
블레이디,"예은, 다영, 가빈, 티나, 기루",여,540363,,스타플레닛,2011,,2227
스텔라,"가영, 전율, 효은, 민희, 소영",여,559971,,,2011,로켓걸 (Rocket Girl) (Feat. Eric),5570
씨리얼,"케미 (씨리얼), 레디 (씨리얼), 에피 (씨리얼), 앤제이 (씨리얼), 레니 (씨리얼)",여,569973,,NAP,2011,No No No No No,220
비에이피,"방용국, 젤로, 힘찬, 대현 (B.A.P), 영재 (B.A.P), 종업 (B.A.P)",남,623451,,TS,2012,WARRIOR,27989
