SM ,adjective,count,YG ,adjective,count,JYP ,adjective,count
8,있다/Adjective,1741,10,없다/Adjective,438,8,있다/Adjective,646
10,없다/Adjective,1686,13,있다/Adjective,388,12,없다/Adjective,564
28,같다/Adjective,749,70,같다/Adjective,138,32,같다/Adjective,288
79,좋다/Adjective,380,73,그렇다/Adjective,131,40,그렇다/Adjective,224
93,그렇다/Adjective,341,80,아니다/Adjective,120,67,아니다/Adjective,161
98,아니다/Adjective,324,81,좋다/Adjective,119,73,미치다/Adjective,149
105,어떻다/Adjective,312,134,싫다/Adjective,77,101,좋다/Adjective,120
124,아프다/Adjective,262,140,원하다/Adjective,73,102,어떻다/Adjective,120
131,미치다/Adjective,251,163,미치다/Adjective,66,115,아프다/Adjective,107
132,원하다/Adjective,247,166,아프다/Adjective,65,143,예쁘다/Adjective,94
152,아름답다/Adjective,215,179,아름답다/Adjective,61,145,원하다/Adjective,94
163,영원하다/Adjective,203,184,행복하다/Adjective,60,155,이렇다/Adjective,88
208,이렇다/Adjective,166,189,영원하다/Adjective,59,181,싫다/Adjective,72
212,행복하다/Adjective,164,214,아무렇다/Adjective,52,236,행복하다/Adjective,53
214,많다/Adjective,161,216,슬프다/Adjective,51,282,변하다/Adjective,44
239,예쁘다/Adjective,146,218,이렇다/Adjective,51,295,많다/Adjective,42
248,달콤하다/Adjective,138,222,어떻다/Adjective,51,298,미안하다/Adjective,41
263,뜨겁다/Adjective,130,232,미안하다/Adjective,49,299,아름답다/Adjective,41
266,작다/Adjective,129,243,새롭다/Adjective,47,307,괜찮다/Adjective,39
277,깊다/Adjective,124,246,예쁘다/Adjective,46,325,노랗다/Adjective,36
282,하얗다/Adjective,122,255,많다/Adjective,45,341,영원하다/Adjective,35
327,멀다/Adjective,107,271,힘들다/Adjective,42,355,뜨겁다/Adjective,34
339,괜찮다/Adjective,102,316,나쁘다/Adjective,37,369,안되다/Adjective,32
351,멋지다/Adjective,99,317,그립다/Adjective,36,377,짜릿하다/Adjective,32
352,두렵다/Adjective,99,324,뜨겁다/Adjective,36,400,멋지다/Adjective,30
353,힘들다/Adjective,99,347,재미없다/Adjective,33,409,힘들다/Adjective,29
355,변하다/Adjective,98,372,두렵다/Adjective,30,444,설레다/Adjective,26
373,눈부시다/Adjective,93,421,작다/Adjective,26,446,달콤하다/Adjective,26
377,차갑다/Adjective,92,434,달콤하다/Adjective,25,454,특별하다/Adjective,25
390,가득하다/Adjective,87,436,괜찮다/Adjective,25,458,눈부시다/Adjective,25
405,위험하다/Adjective,84,437,외롭다/Adjective,25,467,괴롭다/Adjective,24
414,까맣다/Adjective,82,464,솔직하다/Adjective,23,482,뿐이다/Adjective,23
446,어느새다/Adjective,75,474,필요하다/Adjective,23,484,완벽하다/Adjective,23
451,완벽하다/Adjective,74,483,설레다/Adjective,22,501,불안하다/Adjective,22
465,소중하다/Adjective,71,509,길다/Adjective,21,505,반하다/Adjective,22
499,싫다/Adjective,66,516,착하다/Adjective,21,513,두렵다/Adjective,21
507,미안하다/Adjective,65,526,차갑다/Adjective,20,557,슬프다/Adjective,19
524,설레다/Adjective,63,553,여전하다/Adjective,19,566,위험하다/Adjective,19
537,슬프다/Adjective,61,556,붉다/Adjective,19,588,나쁘다/Adjective,18
538,뿐이다/Adjective,60,570,눈부시다/Adjective,18,597,맛있다/Adjective,18
548,새롭다/Adjective,59,582,똑같다/Adjective,18,606,그립다/Adjective,17
565,그립다/Adjective,57,596,좋아하다/Adjective,17,608,차갑다/Adjective,17
572,마르다/Adjective,56,606,하얗다/Adjective,17,623,뻔하다/Adjective,17
618,넘치다/Adjective,52,639,파랗다/Adjective,16,636,소중하다/Adjective,16
623,밉다/Adjective,52,673,다르다/Adjective,15,657,대단하다/Adjective,16
630,여전하다/Adjective,51,675,변하다/Adjective,15,658,굉장하다/Adjective,16
635,특별하다/Adjective,50,676,깊다/Adjective,15,669,아무렇다/Adjective,15
648,어지럽다/Adjective,50,707,서툴다/Adjective,14,676,똑같다/Adjective,15
715,자유롭다/Adjective,45,777,여리다/Adjective,13,711,솔직하다/Adjective,14
730,안되다/Adjective,44,787,높다/Adjective,10,717,착하다/Adjective,10
