SM ,noun,count,YG ,noun,count,JYP ,noun,count
1,너/Noun,3055,1,너/Noun,761,1,너/Noun,1258
2,내/Noun,2044,2,내/Noun,563,2,내/Noun,724
3,사랑/Noun,1538,3,사랑/Noun,322,3,나/Noun,499
4,나/Noun,1261,4,나/Noun,311,4,널/Noun,491
5,수/Noun,1092,5,말/Noun,299,5,난/Noun,406
6,날/Noun,1034,6,난/Noun,294,6,날/Noun,378
7,널/Noun,1021,7,날/Noun,291,7,말/Noun,373
8,말/Noun,960,8,널/Noun,276,8,니/Noun,323
9,그/Noun,941,9,그/Noun,245,9,사랑/Noun,321
10,난/Noun,884,10,네/Noun,238,10,수/Noun,314
11,더/Noun,847,11,넌/Noun,217,11,더/Noun,300
12,걸/Noun,731,12,그대/Noun,198,12,것/Noun,288
13,네/Noun,729,13,우리/Noun,197,13,넌/Noun,246
14,그대/Noun,718,14,더/Noun,196,14,왜/Noun,232
15,것/Noun,689,15,수/Noun,186,15,맘/Noun,221
16,맘/Noun,646,16,오늘/Noun,171,16,눈/Noun,206
17,넌/Noun,645,17,것/Noun,169,17,때/Noun,200
18,눈/Noun,643,18,이/Noun,160,18,그/Noun,197
19,속/Noun,595,19,해/Noun,150,19,걸/Noun,196
20,이/Noun,544,20,또/Noun,149,20,네/Noun,189
21,세상/Noun,484,21,밤/Noun,145,21,또/Noun,173
22,또/Noun,479,22,왜/Noun,140,22,우리/Noun,171
23,우리/Noun,450,23,사람/Noun,133,23,알/Noun,164
24,가슴/Noun,422,24,맘/Noun,131,24,거/Noun,160
25,시간/Noun,421,25,안/Noun,122,25,오늘/Noun,159
26,때/Noun,399,26,속/Noun,116,26,해/Noun,152
27,순간/Noun,396,27,시간/Noun,114,27,생각/Noun,146
28,마음/Noun,387,28,기억/Noun,113,28,지금/Noun,142
29,안/Noun,386,29,니/Noun,111,29,사람/Noun,137
30,해/Noun,376,30,이제/Noun,110,30,다시/Noun,135
31,사람/Noun,370,31,때/Noun,105,31,이제/Noun,135
32,손/Noun,369,32,눈/Noun,104,32,시간/Noun,132
33,이제/Noun,359,33,걸/Noun,103,33,안/Noun,132
34,꿈/Noun,356,34,끝/Noun,98,34,젠/Noun,130
35,끝/Noun,348,35,마음/Noun,97,35,그대/Noun,127
36,모든/Noun,347,36,거/Noun,95,36,이/Noun,127
37,거/Noun,340,37,손/Noun,90,37,못/Noun,123
38,모두/Noun,336,38,지금/Noun,90,38,모든/Noun,118
39,곁/Noun,325,39,세상/Noun,86,39,속/Noun,117
40,밤/Noun,320,40,못/Noun,85,40,손/Noun,116
41,다시/Noun,318,41,노래/Noun,79,41,게/Noun,115
42,생각/Noun,304,42,눈물/Noun,78,42,매일/Noun,106
43,그녀/Noun,304,43,마지막/Noun,77,43,모두/Noun,103
44,알/Noun,304,44,좀/Noun,77,44,그냥/Noun,102
45,왜/Noun,292,45,모두/Noun,75,45,점/Noun,102
46,게/Noun,290,46,우린/Noun,74,46,보고/Noun,100
47,젠/Noun,290,47,하나/Noun,72,47,밤/Noun,99
48,눈물/Noun,280,48,어디/Noun,71,48,자꾸/Noun,99
49,오늘/Noun,277,49,게/Noun,70,49,가슴/Noun,98
50,지금/Noun,273,50,모습/Noun,70,50,수가/Noun,96
