SM ,verb,count,YG ,verb,count,JYP ,verb,count
1,하다/Verb,3704,1,하다/Verb,983,1,하다/Verb,1265
2,보다/Verb,1373,2,보다/Verb,391,2,보다/Verb,614
3,않다/Verb,837,3,않다/Verb,261,3,않다/Verb,303
4,버리다/Verb,742,4,가다/Verb,197,4,모르다/Verb,243
5,되다/Verb,640,5,싶다/Verb,184,5,내다/Verb,231
6,내다/Verb,546,6,돼다/Verb,180,6,싶다/Verb,221
7,싶다/Verb,533,7,모르다/Verb,164,7,돼다/Verb,206
8,나르다/Verb,492,8,되다/Verb,141,8,나르다/Verb,187
9,돼다/Verb,458,9,내다/Verb,137,9,못/VerbPrefix,186
10,오다/Verb,448,10,버리다/Verb,131,10,알다/Verb,163
11,가다/Verb,423,11,오다/Verb,116,11,오다/Verb,148
12,모르다/Verb,411,12,떠나다/Verb,111,12,주다/Verb,142
13,못/VerbPrefix,390,13,주다/Verb,104,13,되다/Verb,140
14,들다/Verb,321,14,잊다/Verb,100,14,들다/Verb,134
15,주다/Verb,319,15,대다/Verb,93,15,버리다/Verb,128
16,알다/Verb,310,16,못/VerbPrefix,90,16,가다/Verb,124
17,떠나다/Verb,259,17,자다/Verb,88,17,웃다/Verb,109
18,믿다/Verb,252,18,알다/Verb,87,18,보내다/Verb,106
19,멈추다/Verb,243,19,말다/Verb,81,19,잊다/Verb,104
20,바라보다/Verb,243,20,해주다/Verb,80,20,나다/Verb,99
21,걸다/Verb,234,21,웃다/Verb,80,21,말다/Verb,97
22,해주다/Verb,232,22,나르다/Verb,80,22,기다리다/Verb,97
23,대다/Verb,230,23,나다/Verb,78,23,떠나다/Verb,96
24,잊다/Verb,221,24,기다리다/Verb,70,24,보이다/Verb,96
25,기다리다/Verb,210,25,들다/Verb,69,25,돌아오다/Verb,95
26,빠지다/Verb,206,26,불다/Verb,64,26,해주다/Verb,91
27,웃다/Verb,202,27,놓다/Verb,61,27,바라보다/Verb,90
28,느끼다/Verb,201,28,따르다/Verb,60,28,멈추다/Verb,85
29,보이다/Verb,191,29,부르다/Verb,60,29,믿다/Verb,76
30,잡다/Verb,188,30,돌아오다/Verb,59,30,다가오다/Verb,70
31,불다/Verb,184,31,지치다/Verb,58,31,자다/Verb,66
32,찾다/Verb,178,32,만나다/Verb,57,32,안/VerbPrefix,65
33,나다/Verb,178,33,안다/Verb,57,33,안다/Verb,64
34,만들다/Verb,165,34,멈추다/Verb,56,34,잡다/Verb,60
35,말다/Verb,157,35,이다/Verb,56,35,놓다/Verb,58
36,두다/Verb,155,36,느끼다/Verb,54,36,느끼다/Verb,56
37,쉬다/Verb,155,37,다가오다/Verb,54,37,나오다/Verb,56
38,지키다/Verb,154,38,찾다/Verb,51,38,만나다/Verb,55
39,흐르다/Verb,152,39,나오다/Verb,50,39,돌아가다/Verb,53
40,지치다/Verb,152,40,걸다/Verb,48,40,빠지다/Verb,51
41,놓다/Verb,150,41,믿다/Verb,48,41,해보다/Verb,50
42,따르다/Verb,138,42,쩔다/Verb,48,42,찾다/Verb,50
43,비추다/Verb,138,43,보이다/Verb,46,43,갈다/Verb,49
44,자다/Verb,135,44,쉬다/Verb,45,44,지치다/Verb,49
45,뜨다/Verb,134,45,잡다/Verb,44,45,대다/Verb,48
46,따다/Verb,128,46,받다/Verb,44,46,불다/Verb,48
47,만나다/Verb,127,47,안/VerbPrefix,44,47,듣다/Verb,45
48,이다/Verb,122,48,바라보다/Verb,42,48,차다/Verb,45
49,차다/Verb,120,49,그리다/Verb,41,49,지우다/Verb,45
50,안다/Verb,120,50,죽다/Verb,41,50,돌아서다/Verb,44
