SM ,adjective,count,YG ,adjective,count,JYP ,adjective,count
1,있다/Adjective,489,1,없다/Adjective,112,1,없다/Adjective,354
2,없다/Adjective,437,2,있다/Adjective,78,2,있다/Adjective,298
3,같다/Adjective,285,3,바쁘다/Adjective,55,3,같다/Adjective,167
4,그렇다/Adjective,184,4,같다/Adjective,47,4,그렇다/Adjective,151
5,좋다/Adjective,167,5,아프다/Adjective,32,5,좋다/Adjective,132
6,어떻다/Adjective,122,6,아니다/Adjective,28,6,어떻다/Adjective,122
7,아니다/Adjective,106,7,원하다/Adjective,23,7,아니다/Adjective,104
8,달콤하다/Adjective,104,8,뜨겁다/Adjective,20,8,이렇다/Adjective,85
9,이렇다/Adjective,96,9,좋다/Adjective,19,9,싫다/Adjective,85
10,멋지다/Adjective,73,10,이렇다/Adjective,17,10,원하다/Adjective,67
11,원하다/Adjective,71,11,그렇다/Adjective,17,11,괜찮다/Adjective,54
12,아프다/Adjective,65,12,영원하다/Adjective,16,12,미치다/Adjective,53
13,많다/Adjective,60,13,그립다/Adjective,16,13,좋아하다/Adjective,51
14,행복하다/Adjective,60,14,많다/Adjective,15,14,아프다/Adjective,38
15,영원하다/Adjective,59,15,아름답다/Adjective,15,15,예쁘다/Adjective,37
16,하얗다/Adjective,56,16,행복하다/Adjective,15,16,행복하다/Adjective,35
17,뜨겁다/Adjective,53,17,달콤하다/Adjective,14,17,달콤하다/Adjective,31
18,작다/Adjective,51,18,미치다/Adjective,12,18,아름답다/Adjective,30
19,새롭다/Adjective,50,19,파랗다/Adjective,12,19,멋지다/Adjective,29
20,특별하다/Adjective,49,20,차갑다/Adjective,11,20,이상하다/Adjective,29
21,아름답다/Adjective,48,21,싫다/Adjective,11,21,많다/Adjective,28
22,예쁘다/Adjective,48,22,설레다/Adjective,11,22,뻔하다/Adjective,26
23,설레다/Adjective,47,23,어떻다/Adjective,11,23,다르다/Adjective,25
24,변하다/Adjective,41,24,변하다/Adjective,10,24,특별하다/Adjective,25
25,눈부시다/Adjective,39,25,예쁘다/Adjective,9,25,답답하다/Adjective,23
26,어느새다/Adjective,38,26,나쁘다/Adjective,9,26,필요하다/Adjective,21
27,괜찮다/Adjective,38,27,슬프다/Adjective,9,27,미안하다/Adjective,21
28,따스하다/Adjective,36,28,재수없다/Adjective,9,28,뜨겁다/Adjective,19
29,가득하다/Adjective,35,29,다르다/Adjective,8,29,나쁘다/Adjective,19
30,좋아하다/Adjective,34,30,좋아하다/Adjective,8,30,설레다/Adjective,19
31,솔직하다/Adjective,34,31,초라하다/Adjective,7,31,솔직하다/Adjective,18
32,포근하다/Adjective,32,32,착하다/Adjective,7,32,궁금하다/Adjective,18
33,환하다/Adjective,31,33,아쉽다/Adjective,6,33,아무렇다/Adjective,18
34,빨갛다/Adjective,31,34,밉다/Adjective,6,34,영원하다/Adjective,15
35,따뜻하다/Adjective,29,35,두렵다/Adjective,6,35,귀찮다/Adjective,14
36,차갑다/Adjective,29,36,자유롭다/Adjective,6,36,반하다/Adjective,14
37,뻔하다/Adjective,29,37,괜찮다/Adjective,5,37,어렵다/Adjective,13
38,수줍다/Adjective,29,38,새롭다/Adjective,5,38,가득하다/Adjective,12
39,깊다/Adjective,28,39,뻔하다/Adjective,5,39,두렵다/Adjective,12
40,완벽하다/Adjective,27,40,멋지다/Adjective,5,40,지겹다/Adjective,12
41,이상하다/Adjective,27,41,짜릿하다/Adjective,5,41,슬프다/Adjective,12
42,소중하다/Adjective,26,42,아깝다/Adjective,5,42,노랗다/Adjective,12
43,멀다/Adjective,25,43,노랗다/Adjective,5,43,무섭다/Adjective,11
44,강하다/Adjective,25,44,부족하다/Adjective,5,44,아쉽다/Adjective,11
45,궁금하다/Adjective,24,45,신나다/Adjective,5,45,어색하다/Adjective,11
46,힘들다/Adjective,24,46,멀다/Adjective,4,46,고프다/Adjective,10
47,아찔하다/Adjective,24,47,여전하다/Adjective,4,47,바쁘다/Adjective,10
48,넘치다/Adjective,23,48,힘들다/Adjective,4,48,빨갛다/Adjective,10
49,복잡하다/Adjective,22,49,솔직하다/Adjective,4,49,아깝다/Adjective,10
50,짜릿하다/Adjective,22,50,깊다/Adjective,4,50,안되다/Adjective,10
