,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
0,서태지와 아이들,3,남,100161.0,,요요기획,서태지와 아이들,"서태지, 양현석, 이주노",1992,난 알아요
1,더 블루,2,남,180144.0,,SM,더 블루,"손지창, 김민종",1992,
2,잼,5,혼,225786.0,,DSP미디어,잼,,,
3,에스오에스,4,여,101645.0,,삼포니레코드,S.O.S,,,
4,솔리드,3,남,100037.0,,비앤비,솔리드,"이준, 정재윤, 김조한",1993,이젠 나를 (Give Me A Chance)
5,듀스,2,남,100977.0,,예당음향(예당컴퍼니),듀스,"이현도, 김성재",1993,나를 돌아봐
6,노이즈,4,남,100025.0,,라인기획,노이즈,,1992,너에게 원한건
7,잉크,7,남,101847.0,,,잉크,,,
8,룰라,4,혼,106610.0,,서울인프로덕션,룰라,"이상민, 고영욱, 김지현, 채리나",1994,100일(日)째 만남
9,쿨,3 (4),혼,100004.0,,쿨컴퍼니,쿨 (COOL),"이재훈 (쿨), 김성수, 유리",1994,너이길 원했던 이유
10,제트,3,남,108871.0,,,Jet,,2003,Are You Gonna Be My Girl
11,터보,3 (2),남,100059.0,,더터보컴퍼니,터보,"김종국, 마이키, 김정남",1995,나 어릴 적 꿈
12,알이에프,3,남,100015.0,,팀,R.ef,"이성욱, 성대현",1995,고요속의 외침
13,스머프,5,혼,247880.0,,,스머프,,,
14,에이치오티,5,남,100008.0,,SM,H.O.T.,"토니 안, 문희준, 강타 (KANGTA), 장우혁, 이재원",1996,전사의 후예 (폭력시대)
15,언타이틀,2,남,100042.0,,예당음향(예당컴퍼니),언타이틀,"유건형, 서정환",1996,
16,하모하모,2,남,100178.0,,뮤직팩토리,Hamohamo,"이성진, 천명훈",1996,
17,아이돌,2,남,101640.0,,DSP미디어,아이돌,,,
18,구피,3,남,100023.0,,,구피,"신동욱, 박성호 (구피)",1996,많이많이
19,태사자,4,남,100096.0,,매스컴,태사자,,1997,
20,엔알지,3 (5),남,100010.0,,뮤직팩토리,엔알지 (NRG),"천명훈, 노유민, 이성진",1997,할 수 있어
21,오피피에이,8,남,100013.0,,베토벤뮤직,오피피에이,,1998,
22,티앤비,5,남,101868.0,,,T.N.B,,1997,
23,젝스키스,6,남,100052.0,DSP미디어,YG,젝스키스,"은지원, 이재진, 김재덕, 강성훈, 장수원",1997,학원별곡 (學園別曲)
24,쎄쎄쎄,3,여,101710.0,,희레코드,쎄쎄쎄,,1996,
25,베이비복스,5,여,216382.0,,DR뮤직,베이비 복스,황연경,2007,Shee
26,에스이에스,3,여,100016.0,,SM,S.E.S.,"유진, 바다, 슈",1997,(`Cause) I`m Your Girl
27,원타임,4,남,100001.0,,YG,원타임,"송백경, 태빈, TEDDY",1998,1tym
28,신화,6,남,100078.0,SM,신화컴퍼니,신화,"앤디, 에릭, 전진, 신혜성, M (이민우), 김동완",1998,해결사
29,이글 파이브,5,남,100051.0,,,이글 파이브,,1998,궤도
30,오피피에이 공공칠,5,남,101508.0,,베토벤뮤직,O.P.P.A. 007,,,
31,팬클럽,6,남,102213.0,,,팬클럽,비,,
32,써클,5,여,100036.0,,조선음향,Circle,,1998,
33,쿠키,3,여,777429.0,,드림,Cookie,,,
34,핑클,4,여,100065.0,,DSP미디어,핑클,"이효리, 옥주현, 성유리, 이진",1998,Blue Rain
35,플라이 투 더 스카이,2,남,100183.0,SM,H2미디어,플라이 투 더 스카이,"환희, 브라이언",1999,Day By Day
36,에이포,4,남,100763.0,,,A4,,1999,
37,클릭비,7,남,100070.0,,DSP미디어,클릭비 (Click-B),"강후, 오종혁, 김상혁, 우연석, EVAN 에반 (유호석), 하현곤, 노민혁",1999,Promise
38,와이투케이,3,남,100021.0,,조선음향,Y2K,고재근,1999,헤어진 후에
39,god,5,남,100007.0,,iHQ싸이더스),god,"김태우, 손호영, 데니안, 박준형, 윤계상",1999,어머님께
40,문차일드,4,남,100185.0,,GM기획,문차일드,이수 (엠씨 더 맥스),2000,Delete
41,오투알,5,남,100011.0,,,O2R,김재근,1999,
42,씨유,3,여,100086.0,,동아기획,씨유,,1999,
