artist,artist_eng,member_num,leader_name,gender,agency,idol_id
서태지와 아이들,SeoTaiji And Boys,3,서태지,남,요요 기획,100161
더 블루,The Blue,2,손지창,남,SM 엔터테인먼트,180144
잼,Zam,5,조진수,혼,DSP 미디어,225786
에스오에스,S.O.S,4,,여,삼포니 레코드,101645
솔리드,Solid,3,정재윤,남,비앤비,100037
듀스,DEUX,2,이현도,남,예당 음향 (예당 컴퍼니),100977
노이즈,Noise,4,홍종구,남,라인 기획,100025
잉크,ink,7,이상원,남,,101847
룰라,Roo'Ra,4,이상민,혼,서울인 프로덕션,106610
쿨,Cool,3 (4),김성수,혼,쿨컴퍼니,100004
제트,Z,3,,남,,108871
터보,Turbo,3 (2),김정남,남,더 터보 컴퍼니,100059
알이에프,R.ef,3,박철우,남,팀 엔터테인먼트,100015
스머프,Smurph,5,이희성,혼,,247880
에이치오티,H.O.T.,5,문희준,남,SM 엔터테인먼트,100008
언타이틀,Untitle,2,유건형,남,예당 음향 (예당 컴퍼니),100042
하모하모,HAMO HAMO,2,이성진,남,뮤직 팩토리,100178
아이돌,IDOL,2,최혁준,남,DSP 미디어,101640
구피,Goofy,3,이승광,남,,100023
태사자,Taesaja,4,김형준,남,매스컴,100096
엔알지,N.R.G,3 (5),이성진,남,뮤직 팩토리,100010
오피피에이,O.P.P.A,8,김영훈,남,베토벤 뮤직,100013
티앤비,TNB,5,손혁,남,,101868
젝스키스,Sechs Kies,6,은지원,남,YG 엔터테인먼트?(결성은?DSP 미디어),100052
쎄쎄쎄,Se Se Se,3,,여,희레코드,101710
베이비복스,Baby V.O.X,5,김이지,여,DR 뮤직,216382
에스이에스,S.E.S.,3,바다,여,SM 엔터테인먼트,100016
원타임,1TYM,4,테디,남,YG 엔터테인먼트,100001
신화,SHINHWA,6,에릭,남,신화 컴퍼니?(결성은?SM 엔터테인먼트),100078
이글 파이브,Eagle Five,5,윤성준,남,,100051
오피피에이 공공칠,OPPA 007,5,,남,베토벤 뮤직,101508
팬클럽,Fan Club,6,홍상진,남,,102213
써클,Circle,5,이지현,여,조선 음향,100036
쿠키,Cooki,3,유나,여,드림 엔터테인먼트,777429
핑클,Fin.K.L.,4,이효리,여,DSP 미디어,100065
플라이 투 더 스카이,Fly To The Sky,2,,남,H2 미디어?(결성은?SM 엔터테인먼트),100183
에이포,A4,4,이제희,남,,100763
클릭비,Click-B,7,김태형,남,DSP 미디어,100070
와이투케이,Y2K,3,고재근,남,조선 음향,100021
god,god,5,박준형,남,iHQ?(싸이더스),100007
문차일드,Moonchild,4,이수,남,GM 기획,100185
오투알,O2R,5,,남,,100011
씨유,See U,3,지니,여,동아 기획,100086
폭스,F.O.X,4,,여,O.G SOUND,100077
클레오,Cleo,3,김하나,여,호 엔터테인먼트,101397
티티마,T.T.Ma,5,소이,여,뮤직 팩토리,100017
오투포,O-24,3,이가혜,여,은성 기획,100121
샤크라,Chakra,4,황보,여,키스 엔터테인먼트,100068
에스지,SZ,3,얀,여,,100952
파파야,Papaya,3,조은새,여,윈섬 미디어,101398
제이티엘,jtL,3,,남,예전 미디어,101448
비오케이,B.O.K.,4,이정호,남,,1050192
엑스라지,X-Large,4,고재형,남,상마인드,100779
보이 클럽,Boy Club,3,,남,,101123
오션,5tion,5,오병진,남,신나라 뮤직,101223
플래티넘,PLT,5,,남,DR 뮤직,100765
케이팝,K-POP,5,주민,남,미래 엔터테인먼트,101266
디베이스,D.Bace,3 (5),제드,남,H2 엔터테인먼트,100688
쥬얼리,Jewelry,3,,여,스타제국,101487
투야,To-ya,3,김지혜,여,Astars 엔터테인먼트,100786
알,AL,4,,여,매스컴,100883
보이스코,VoixCo,4,,여,자이브 레코드,101262
밀크,M.I.L.K.,4,박희본,여,SM 엔터테인먼트,101444
블랙 비트,Black Beat,5,이소민,남,SM 엔터테인먼트,101735
보이스립,Boyslip,3,,남,,102453
큐오큐,Q.O.Q,5,이승민,남,상마인드,101758
제이워크,J-Walk,2,김재덕,남,,102409
악동 클럽 (디 에이디),Akdong Club,5,임대석,남,GM 엔터테인먼트,262503
파이브,F-iv,4,서지원,남,에이치앤제이,103326
슈가,Sugar,4,아유미,여,스타 월드 엔터테인먼트,101447
신비,Shinvi,3,유수진,여,SM 엔터테인먼트,102370
스위티,SWi.T,3,이은주,여,YG 엔터테인먼트,101483
러브,LUV,3,은별,여,싸이더스 HQ,102454
데자부,Dejavu,4,,여,,103492
동방신기,東方神起,2 (5),유노윤호,남,SM 엔터테인먼트,108316
버즈,Buzz,5,김예준,,산타뮤직,160091
에스,S,3,,남,SM 엔터테인먼트,107744
스맥스,S`Max,3,주니,남,시즌 엔터테인먼트,107408
테이크,TAKE,5,김도완,남,Blue 엔터테인먼트,105789
모닝,Morning,4,,여,,105688
제이엔씨,JNC,6,김재덕,남,키스 엔터테인먼트,160801
트랙스,TRAX,2 (4),제이,남,SM 엔터테인먼트,108965
엘프,Elf,4,―,여,STN 엔터테인먼트,108892
제이하트,J'Heart,3,장서린,여,MPLAN 엔터테인먼트,674319
컬러링 베이비 7공주,7Princess,7,,여,예스플러스 엔터테인먼트,108299
슈퍼주니어,Super Junior,11 (13),이특,남,SM 엔터테인먼트,175404
파란,PARAN,5,라이언,남,NH 미디어,173323
더블에스오공일,SS501,5,김현중,남,DSP 미디어,170541
키스 파이브,Kis Five,5,,여,ADbell 엔터테인먼트,164035
천상지희 더 그레이스,天上智喜 The Grace,4,,여,SM 엔터테인먼트,168015
오렌지,Orange,3,―,여,오렌지엔터테인먼트,175002
배틀,Battle,6,류,남,굿 엔터테인먼트,209785
빅뱅,BIGBANG,5,G-Dragon,남,YG 엔터테인먼트,198094
씽,XING,4,,남,씽 엔터테인먼트,209489
브라운 아이드 걸스,Brown Eyed Girls,4,제아,여,미스틱 엔터테인먼트?(결성은?내가네트워크),181694
에이시아,A★SIA,4,,여,예당 엔터테인먼트,184426
초신성,Supernova,6,정윤학,남,마루엔터테인먼트,229544
티맥스,T-MAX,3,신민철,남,플래닛구공오,227372
타키온,TACHYON,3,손호준,남,J&H 미디어,224625
에프티 아일랜드,F.T. Island,5,최종훈,남,FNC 엔터테인먼트,226490
카라,KARA,4,박규리,여,DSP 미디어,222128
베이비 복스 리브,Baby Vox Re.V,5,안진경,여,DR 뮤직,100032
써니힐,Sunny Hill,4 (5),주비,여 (혼),로엔 엔터테인먼트,229494
원더걸스,Wonder Girls,4 (5),예은,여,JYP 엔터테인먼트,217764
소녀시대,Girls' Generation,8 (9),태연,여,SM 엔터테인먼트,228069
유키스,U-Kiss,5 (10),신수현,남,NH 미디어,259928
스매쉬 (토니 & 스매쉬),Smash,5 (6),세계,남,TN 엔터테인먼트,257968
에이스타일,A'st1,6,박정진,남,DSP 미디어,243727
샤이니,SHINee,4 (5),온유,남,SM 엔터테인먼트,247639
투에이엠,2AM,4,조권,남,JYP 엔터테인먼트,253866
투피엠,2PM,6 (7),,남,JYP 엔터테인먼트,259822
슈아이,SHU-I,5,인석,남,예전미디어,431440
엠블랙,MBLAQ,3 (5),양승호,남,제이튠 캠프,436980
비스트,BEAST,5 (6),윤두준,남,큐브 엔터테인먼트,436981
애프터 스쿨,After School,4 (10),레이나,여,플레디스 엔터테인먼트,322666
투애니원,2NE1,4,CL,여,YG 엔터테인먼트,406712
포미닛,4minute,5,남지현,여,큐브 엔터테인먼트,417985
티아라,T-ara,4 (6),큐리,여,MBK 엔터테인먼트,412000
에프엑스,f(x),4 (5),빅토리아,여,SM 엔터테인먼트,428501
햄,Heart & Mind,3 (4),효니,여,이연 엔터테인먼트,433421
시크릿,SECRET,1 (4),전효성,여,TS 엔터테인먼트,435121
레인보우,RAINBOW,7,김재경,여,DSP 미디어,440320
남녀공학,男女共學,10,미소수미,혼,코어콘텐츠미디어,13149
씨엔블루,CNBLUE,4,정용화,남,FNC 엔터테인먼트,450801
제국의 아이들,ZE:A,9,문준영,남,스타제국,449941
제이와이제이,JYJ,3,,남,씨제스 엔터테인먼트,499453
대국남아,The BOSS,5,미카,남,씽 엔터테인먼트 (결성은 오픈월드 엔터테인먼트),459644
인피니트,INFINITE,6 (7),김성규,남,울림 엔터테인먼트,476181
틴탑,TEEN TOP,5 (6),캡,남,티오피 미디어,483581
디엠티엔,DMTN,6,이나티,남,아이에스 엔터 미디어 그룹,494501
터치,Touch,4 (7),철민,남,YYJ 엔터테인먼트,106246
지디 앤 탑,GD & TOP,2,,남,YG 엔터테인먼트,512321
씨스타,SISTAR,4,효린,여,스타쉽 엔터테인먼트,473181
오렌지캬라멜,Orange Caramel,3,레이나,여,플레디스 엔터테인먼트,477632
미쓰에이,miss A,2 (4),,여,JYP 엔터테인먼트,481481
걸스데이,Girl's Day,4,소진,여,드림티 엔터테인먼트,482762
나인뮤지스,9MUSES,5 (9),,여,스타제국,465680
지피베이직,GP Basic,3 (6),자이온,여,티모 엔터테인먼트,492173
브이엔티,VNT,3,티나,여,미디어라인,505120
디헤븐,D.Heaven,1 (3),유신,여,Jang 엔터테인먼트,509820
트러블 메이커,Trouble Maker,2,,혼,큐브 엔터테인먼트,591031
마이네임,MYNAME,5,이건우,남,에이치투 미디어,576851
보이프렌드,Boyfriend,6,동현,남,스타쉽 엔터테인먼트,541500
슈퍼 주니어-디앤이,SUPER JUNIOR-D&E,2,,남,SM 엔터테인먼트,838961
비원에이포,B1A4,5,진영,남,WM 엔터테인먼트,535440
블락비,Block B,7,지코,남,세븐시즌스,532201
엔소닉,N-SONIC,6,제이하트,남,C2K 엔터테인먼트,570311
엠아이비,M.I.B,4,직 재스퍼,남,정글 엔터테인먼트,575911
달샤벳,Dal Shabet,4 (6),세리,여,해피페이스 엔터테인먼트,514619
파이브돌스,F-VE DOLLS,5,수미,여,MBK 엔터테인먼트,520160
치치,CHI-CHI,5 (7),세미,여,예당 엔터테인먼트,527980
BP 라니아,BP RaNia,7,알렉산드라,여,DR 뮤직,532321
브레이브걸스,Brave Girls,7 (5),민영,여,브레이브 엔터테인먼트,531700
에이핑크,Apink,6 (7),박초롱,여,플랜에이 엔터테인먼트,534360
씨스타19,SISTAR19,2,,여,스타쉽 엔터테인먼트,537569
천상지희 다나 & 선데이,天上智喜 DANA & Sunday,2,,여,SM 엔터테인먼트,552082
애프터스쿨 레드,After School Red,2,,여,플레디스 엔터테인먼트,554180
애프터스쿨 블루,After School Blue,3,,여,플레디스 엔터테인먼트,554181
블레이디,Blady,5 (4),가빈,여,스타플레닛,540363
스텔라,Stellar,4,,여,,559971
씨리얼,C-Real,5,케미,여,N.A.P. 엔터테인먼트,569973
비에이피,B.A.P,6,방용국,남,TS 엔터테인먼트,623451
뉴이스트,NU'EST,5,JR,남,플레디스 엔터테인먼트,640891
비투비,BTOB,7,서은광,남,큐브 엔터테인먼트,647971
엑소,EXO,9 (12),수호,남,SM 엔터테인먼트,724619
JJ 프로젝트,JJ Project,2,,남,JYP 엔터테인먼트,672041
빅스,VIXX,6,엔,남,젤리피쉬 엔터테인먼트,672560
에이젝스,A-JAX,5 (8),도우,남,DSP 미디어,672551
크로스진,Cross gene,6,신원호,남,아뮤즈 코리아,674297
빅스타,Big Star,5,필독,남,브레이브 엔터테인먼트,684868
씨클라운,C-CLOWN,6,롬,남,바나나컬쳐,685624
투포케이,24K,7,코리,남,조은 엔터테인먼트,696519
백퍼센트,100%,5 (7),서민우,남,티오피 미디어,697486
미스터미스터,Mr.Mr,5,도연,남,로엔 엔터테인먼트,698830
이엑스아이디,EXID,5 (6),솔지,여,바나나컬쳐 엔터테인먼트,630454
스피카,SPICA,5,김보아,여,CJ E&M,615471
레인보우 픽시,Rainbow Pixie,3,,여,DSP 미디어,614911
소녀시대-태티서,Girls' Generation-TTS,3,서현,여,SM 엔터테인먼트,663691
헬로비너스,Hello Venus,6,앨리스,여,판타지오,668491
갱키즈,Gangkiz,7,황지현,여,MBK 엔터테인먼트,672106
써니데이즈,Sunny Days,5,선경,여,하은엔터테인먼트,672919
글램,GLAM,4,박지연,여,"빅히트 엔터테인먼트,?쏘스 뮤직",685319
에이오에이,AOA,6 (8),지민,여,FNC 엔터테인먼트,686920
크레용팝,Crayon Pop,4 (5),금미,여,크롬 엔터테인먼트,685904
디유닛,D-UNIT,3,람,여,디비즈니스 엔터테인먼트,683453
이블,EvoL,5,세이,여,후너스 엔터테인먼트,686378
