source,target,count
G-DRAGON,빅뱅,51
WOOZI (SEVENTEEN),세븐틴,47
유건형,언타이틀,44
박진영,god,43
이현도,듀스,39
정용화 (CNBLUE),씨엔블루,38
BUMZU,세븐틴,36
Young K,데이식스,35
천성일,노이즈,33
서태지,서태지와 아이들,33
원필,데이식스,33
용감한 형제,틴탑,31
B.I,아이콘,29
홍지상,데이식스,29
한재호,카라,27
김승수,카라,27
윤일상,쿨,27
테디,원타임,27
진영,비원에이포,26
Jae,데이식스,25
박성호 (구피),구피,25
성진,데이식스,25
테디,투애니원,25
서재우 (TENTEN),비투비,24
김도훈 (RBW),마마무,24
정재윤,솔리드,24
이우민 `collapsedone`,데이식스,23
테디,빅뱅,22
한승훈,에프티 아일랜드,22
한재호,인피니트,22
박해운,쿨,22
김승수,인피니트,22
지코 (ZICO),블락비,21
박우상,마마무,21
MELODESIGN,빅스,20
유영진,에이치오티,19
한승훈,씨엔블루,19
신사동 호랭이,이엑스아이디,19
LE (EXID),이엑스아이디,19
홍재선,알이에프,19
한 (3RACHA),스트레이 키즈,19
박진영,원더걸스,19
주영훈,터보,19
방찬 (3RACHA),스트레이 키즈,19
강승윤,위너,18
최종훈 (FT아일랜드),에프티 아일랜드,18
임현식,비투비,18
한재호,보이프렌드,18
김승수,보이프렌드,18
김태주,크나큰,18
SWEETUNE,스누퍼,17
김창락,에스에프나인,17
위종수,쿨,17
용준형,비스트,17
창빈 (3RACHA),스트레이 키즈,17
윤일상,구피,17
정일훈,비투비,17
이홍기 (FT아일랜드),에프티 아일랜드,16
방용국,비에이피,16
이재진 (FT아일랜드),에프티 아일랜드,16
김태주,비스트,16
이종현 (CNBLUE),씨엔블루,15
서용배 (TENTEN),비투비,15
강타 (KANGTA),에이치오티,15
천명훈,엔알지,15
용감한 형제,에이오에이,15
더 준,쿨,15
조영수,티아라,15
1Piece,러블리즈,15
이기 (오레오),여자친구,15
유영진,동방신기,15
Good Life,비스트,15
용배 (RBW),여자친구,14
방시혁,god,14
T.O.P,빅뱅,14
동네형,세븐틴,14
원영헌,세븐틴,14
방시혁,투에이엠,14
안성일,제이워크,14
이기 (오레오),아스트로,14
코리,투포케이,13
MZMC,엑소,13
이상민,룰라,13
박진영,투피엠,13
문희준,에이치오티,13
김창락,비에이피,13
김승수,나인뮤지스,13
이현도,룰라,13
신승희,테이크,13
더 준,오션,13
KZ,헤일로,13
한재호,나인뮤지스,13
한성호,에프티 아일랜드,13
Andreas Oberg,오마이걸,13
강욱진,위너,12
박수석,비에이피,12
김창환,노이즈,12
Hip Wave Sound,비비드,12
용감한 형제,씨스타,12
kenzie,샤이니,12
Sean Alexander,오마이걸,12
예빈 (다이아),다이아,12
MINO,위너,12
용감한 형제,빅뱅,12
용감한 형제,빅스타,12
낯선,카드,12
이윤상,젝스키스,12
JB (GOT7),갓세븐,12
이용민,알이에프,12
윤일상,터보,12
이현우,엔알지,11
BUMZU,뉴이스트 W,11
강지원,시크릿,11
Ferdy (MosPick),씨엘씨,11
최준영,룰라,11
조성호,비투비,11
김형규,쿨,11
조성호,씨엘씨,11
김형석,베이비 복스 리브,11
이단옆차기,씨스타,11
전준규,컬러링 베이비 7공주,10
페리,빅뱅,10
SWEETUNE,백퍼센트,10
김재양,씨엔블루,10
이단옆차기,걸스데이,10
주헌 (몬스타엑스),몬스타엑스,10
이현도,디베이스,10
고석영,버즈,10
용감한 형제,유키스,10
라비 (빅스),빅스,10
별들의 전쟁,빅스타,10
김진훈,쿨,10
기희현,다이아,10
Do,디베이스,10
Adrian Mckinnon,엑소,10
전준규,쿨,10
리시,몬스타엑스,10
한승훈,엔플라잉,10
별들의 전쟁,틴탑,10
로빈,씨스타,9
e.one,제국의 아이들,9
김성태,샤크라,9
신상근,샤크라,9
용감한 형제,브레이브걸스,9
더 준,젝스키스,9
KZ,써니힐,9
용배 (RBW),아스트로,9
Good Life,하이라이트,9
김기범,비에이피,9
장이정 (JANGYIJEONG),히스토리,9
kenzie,엑소,9
earattack,갓세븐,9
강지원,비에이피,9
직 재스퍼 (Zick Jasper),엠아이비,9
빅싼초 (Yummy Tone),씨엘씨,9
버즈,버즈,9
테디,블랙핑크,9
ZeroZine (MosPick),씨엘씨,9
홍지상,원더걸스,9
유영진,에스이에스,9
미친감성,헤일로,9
박수석,소나무,9
BEOMxNANG,에이핑크,8
이상준,엔알지,8
Daniel Obi Klein,레드벨벳,8
유빈 (Yubin),원더걸스,8
태완 (Taewan),엠블랙,8
라도,씨클라운,8
핫펠트 (예은),원더걸스,8
AiRPLAY,위너,8
마르코,비에이피,8
후이 (펜타곤),펜타곤,8
강욱진,아이콘,8
동해 (DONGHAE),슈퍼 주니어-디앤이,8
조성진,구피,8
신사동 호랭이,티아라,8
한승훈,에이오에이,8
Thomas Troelsen,샤이니,8
홍지상,투피엠,8
수빈,달샤벳,8
Otha `Vakseen` Davis III,엑소,8
차쿤 (일렉트로보이즈),틴탑,8
유영진,신화,8
원상우,파란,8
Tay Jasper,엑소,8
kenzie,소녀시대,8
백호 (뉴이스트),뉴이스트 W,8
강동하,펜타곤,8
J. Yoon,인피니트,8
용감한 형제,애프터 스쿨,8
김창락,엔플라잉,8
이트라이브,달샤벳,8
Steven Lee,더블에스오공일,8
LDN Noise,엑소,8
Poptime,블락비,7
Ferdy (MosPick),비투비,7
한재호,더블에스오공일,7
이단옆차기,제이제이씨씨,7
신혁,업텐션,7
Ryan S. Jhun,브이에이브이,7
김기범,시크릿,7
마경식,젝스키스,7
Kenzie,슈퍼주니어,7
이상준,버즈,7
신인수,핑클,7
앤드류 최,샤이니,7
김승수,더블에스오공일,7
이민수,써니힐,7
렌,오션,7
Ollounder,드림캐쳐,7
김도현,신화,7
유니스,다이아,7
ESBEE,몬스타엑스,7
기호,쿨,7
안준성,보이프렌드,7
정균,빅플로,7
NODAY,갓세븐,7
윤우현,버즈,7
BUMZU,뉴이스트,7
김태성,샤이니,7
투챔프,틴탑,7
준케이 (JUN. K),투피엠,7
블랙아이드 필승,틴탑,7
ZigZag Note,에이핑크,7
Albi Albertsson,빅스,7
최규성,비스트,7
페리,원타임,7
서재우 (TENTEN),포미닛,7
일 (IL),비투비,7
서재우 (TENTEN),씨엘씨,7
박은우,소나무,7
서융근,플라이 투 더 스카이,7
kenzie,레드벨벳,7
한창훈,엔알지,7
김재양,에프티 아일랜드,7
어벤전승,라붐,7
창조,틴탑,7
박진영,갓세븐,7
박근태,쥬얼리,7
Darren Smith,오마이걸,7
