,source,target,count
0,라비 (빅스),빅스,61
1,박진영,god,60
2,정일훈,비투비,59
3,G-DRAGON,빅뱅,59
4,방용국,비에이피,54
5,주헌 (몬스타엑스),몬스타엑스,51
6,WOOZI (SEVENTEEN),세븐틴,50
7,이민혁,비투비,49
8,I.M (몬스타엑스),몬스타엑스,48
9,정용화 (CNBLUE),씨엔블루,40
10,유건형,언타이틀,37
11,이현도,듀스,37
12,Young K,데이식스,36
13,바로,비원에이포,36
14,Vernon (SEVENTEEN),세븐틴,34
15,용준형,비스트,34
16,S.COUPS (SEVENTEEN),세븐틴,33
17,B.I,아이콘,32
18,지코 (ZICO),블락비,31
19,BUMZU,세븐틴,31
20,서태지,서태지와 아이들,31
21,프니엘,비투비,30
22,송수윤,보이프렌드,30
23,한성호,에프티 아일랜드,30
24,이홍기 (FT아일랜드),에프티 아일랜드,29
25,송수윤,인피니트,28
26,김태훈,쿨,28
27,문별 (마마무),마마무,28
28,BOBBY,아이콘,27
29,용감한 형제,틴탑,27
30,MINO,위너,27
31,송수윤,카라,27
32,LE (EXID),이엑스아이디,27
33,이승호,터보,26
34,진영,비원에이포,26
35,테디,원타임,25
36,이던,펜타곤,24
37,이상민,룰라,23
38,장대성,쿨,23
39,테디,투애니원,23
40,우석 (펜타곤),펜타곤,22
41,민규 (SEVENTEEN),세븐틴,22
42,김영아,젝스키스,22
43,진진 (ASTRO),아스트로,22
44,이승호,구피,21
45,이상민,샤크라,21
46,라키 (ASTRO),아스트로,21
47,박우상,마마무,21
48,김지향,빅스,21
49,이승훈,위너,21
50,이재진 (FT아일랜드),에프티 아일랜드,20
51,이승호,쿨,20
52,서재우 (TENTEN),비투비,20
53,M (이민우),신화,20
54,박경 (블락비),블락비,20
55,이승협 (J.DON),엔플라잉,20
56,방찬 (3RACHA),스트레이 키즈,19
57,엑시,우주소녀,19
58,창빈 (3RACHA),스트레이 키즈,19
59,유영진,에이치오티,19
60,천명훈,엔알지,19
61,천성일,노이즈,19
62,도한세 (VICTON),빅톤,19
63,김태윤,쿨,19
64,한 (3RACHA),스트레이 키즈,19
65,홍재선,알이에프,19
66,박진영,원더걸스,19
67,임현식,비투비,18
68,김영아,핑클,18
69,한재호,카라,18
70,원우 (SEVENTEEN),세븐틴,18
71,차쿤 (일렉트로보이즈),틴탑,17
72,방시혁,투에이엠,17
73,한성호,씨엔블루,17
74,유토,펜타곤,17
75,SWEETUNE,스누퍼,17
76,송백경,원타임,16
77,송수윤,나인뮤지스,16
78,김승수,카라,16
79,지민 (AOA),에이오에이,16
80,한경혜,쿨,16
81,테디,빅뱅,16
82,서정환,언타이틀,16
83,JB (GOT7),갓세븐,15
84,이기 (오레오),여자친구,15
85,한성호,에이오에이,15
86,용감한 형제,에이오에이,15
87,강승윤,위너,15
88,홍종구,노이즈,15
89,T.O.P,빅뱅,15
90,강타 (KANGTA),에이치오티,15
91,HighTop,빅플로,15
92,김태주,비스트,15
93,유영진,동방신기,15
94,용배 (RBW),여자친구,14
95,최종훈 (FT아일랜드),에프티 아일랜드,14
96,기희현,다이아,14
97,디노 (SEVENTEEN),세븐틴,14
98,김창환,노이즈,14
99,김도훈 (RBW),마마무,14
100,김태주,크나큰,14
101,종현 (JONGHYUN),샤이니,14
102,한재호,인피니트,14
103,서용배 (TENTEN),비투비,14
104,한진우,터보,14
105,김승수,인피니트,13
106,김창락,비에이피,13
107,신사동 호랭이,이엑스아이디,13
108,kenzie,레드벨벳,13
109,마부스 (Maboos),틴탑,13
110,kenzie,샤이니,13
111,화사 (마마무),마마무,13
112,미료,브라운 아이드 걸스,13
113,장예은,씨엘씨,13
114,JQ,엑소,13
115,C.A.P,틴탑,13
116,예빈 (다이아),다이아,13
117,은혁 (EUNHYUK),슈퍼주니어,13
118,호시 (SEVENTEEN),세븐틴,13
119,이현도,룰라,12
120,정욱,투포케이,12
121,문희준,에이치오티,12
122,김창락,에스에프나인,12
123,이기 (오레오),아스트로,12
